"","COTIZANTES"
"1",570119
"2",571062
"3",573216
"4",576869
"5",510977
"6",577717
"7",589862
"8",750512
"9",673738
"10",737226
"11",741387
"12",604016
"13",622183
"14",624582
"15",753666
"16",593286
"17",581267
"18",835032
"19",725929
"20",733936
"21",706720
"22",720862
"23",773186
"24",757575
"25",678912
"26",733909
"27",657018
"28",626615
"29",580004
"30",647782
"31",665436
"32",742746
"33",769270
"34",761772
"35",763820
"36",772056
"37",768990
"38",790384
"39",785133
"40",808496
"41",742001
"42",790414
"43",821887
"44",809789
"45",838413
"46",837302
"47",826642
"48",804054
"49",833676
"50",867962
"51",876418
"52",913203
"53",832677
"54",858797
"55",901599
"56",882878
"57",908331
"58",915787
"59",928221
"60",896435
"61",921225
"62",928195
"63",901909
"64",929743
"65",855267
"66",920721
"67",938933
"68",998192
"69",1017529
"70",1019428
"71",1034463
"72",1076120
"73",995191
"74",1094295
"75",1096297
"76",1118293
"77",1026752
"78",1115426
"79",1148486
"80",1109033
"81",1126585
"82",1145754
"83",1148113
"84",1144919
"85",1145836
"86",1153219
"87",1176723
"88",1189601
"89",1077595
"90",1178397
"91",1212258
"92",1178755
"93",1197970
"94",1220579
"95",1216389
"96",1232426
"97",1208846
"98",1223060
"99",1232680
"100",1242780
"101",1160674
"102",1242050
"103",1263326
"104",1232216
"105",1281168
"106",1236530
"107",1279009
"108",1260233
"109",1240431
"110",1287611
"111",1273247
"112",1291137
"113",1241113
"114",1284535
"115",1316873
"116",1304070
"117",1345058
"118",1333316
"119",1349327
"120",1336030
"121",1335886
"122",1366703
"123",1338335
"124",1376966
"125",1324202
"126",1363785
"127",1406908
"128",1414140
"129",1417833
"130",1429452
"131",1449141
"132",1420010
"133",1451258
"134",1472311
"135",1444579
"136",1508392
"137",1423196
"138",1490792
"139",1539313
"140",1513581
"141",1530988
"142",1553760
"143",1571146
"144",1520245
"145",1562475
"146",1578120
"147",1569766
"148",1617107
"149",1501053
"150",1605919
"151",1671280
"152",1646516
"153",1679894
"154",1643218
"155",1668107
"156",1683902
"157",1684907
"158",1685991
"159",1695262
"160",1725802
"161",1624220
"162",1682495
"163",1727425
"164",1716399
"165",1793446
"166",1774273
"167",1779808
"168",1786508
"169",1775018
"170",1807106
"171",1804014
"172",1837104
"173",1777342
"174",1807468
"175",1860698
"176",1830789
"177",1890857
"178",1813834
"179",1894599
"180",1888021
"181",1857705
"182",1922130
"183",1902380
"184",1935968
"185",1872444
"186",1914717
"187",1969696
"188",1962253
"189",1931882
"190",1885197
"191",1939817
"192",1917355
"193",1924512
"194",1959668
"195",1910515
"196",1924919
"197",1861696
"198",1903195
"199",1962593
"200",1569809
"201",1460091
"202",1444917
"203",1619832
"204",1624478
"205",1653032
"206",1674668
"207",1658616
"208",1747440
"209",1652224
"210",1756519
"211",1803984
"212",1740784
"213",1803412
"214",1831156
"215",1866512
"216",1872658
"217",1879053
"218",1913789
"219",1939371
"220",1972032
"221",1864996
"222",1956958
"223",2031036
"224",1977626
"225",2038706
"226",2018402
"227",2054737
"228",2077092
"229",2044732
"230",1985841
"231",1996282
"232",2020997
"233",2020338
"234",2105974
"235",2159049
"236",2071926
