"","DEUDA_TOTAL"
"1",148311742474
"2",149835211074
"3",150188905181
"4",153684081287
"5",156787114388
"6",160994769108
"7",162779440078
"8",165966662556
"9",171442399012
"10",176057575208
"11",181845988459
"12",238287161485
"13",240678123178
"14",242573688806
"15",246502146696
"16",251465260754
"17",255347820414
"18",256062772605
"19",253332029805
"20",253952402867
"21",252176498955
"22",252575934683
"23",255296399290
"24",255189500675
"25",249349916433
"26",248693040862
"27",246930808520
"28",249359017911
"29",254329671499
"30",257853821239
"31",260732407032
"32",262291253894
"33",267441671511
"34",273181395240
"35",279046929356
"36",281915296537
"37",282151918621
"38",284967745758
"39",291221829064
"40",294818524238
"41",300271651944
"42",307823696096
"43",310194408886
"44",316493117665
"45",319328117606
"46",329345081808
"47",335832843984
"48",339263650117
"49",339735156914
"50",340311600658
"51",344687484378
"52",345482273567
"53",350978462397
"54",354422254839
"55",358814522810
"56",362198379669
"57",368878527300
"58",373982778149
"59",384800337509
"60",388076908763
"61",388880881462
"62",386549650994
"63",385418975472
"64",382821071888
"65",379785625168
"66",381295254430
"67",376627912808
"68",377457690131
"69",381269116831
"70",389423165039
"71",398644154894
"72",403275844955
"73",403021256302
"74",405532075590
"75",408042186846
"76",408741713955
"77",416844108950
"78",424978538278
"79",428641011446
"80",434933498733
"81",441929662039
"82",445033207383
"83",452714136449
"84",456715024105
"85",451926541645
"86",455940274390
"87",463490360146
"88",468363507149
"89",476007300912
"90",483548278825
"91",489440253614
"92",500300030759
"93",510170018879
"94",517211885578
"95",525235160592
"96",526659039561
"97",524550941325
"98",523795808352
"99",523355617432
"100",527127834001
"101",535176601220
"102",546819129304
"103",552773840804
"104",558839336340
"105",566259279393
"106",577955056248
"107",586094971487
"108",587738828471
"109",585326332471
"110",588041649659
"111",590633160345
"112",599024933748
"113",604970930041
"114",612287810034
"115",619362151582
"116",631863433726
"117",639183798426
"118",647810109267
"119",657685464928
"120",660568974369
"121",657207789259
"122",659159635968
"123",655388050007
"124",659149907901
"125",671573567754
"126",677999085699
"127",683077434267
"128",693827073639
"129",700177104228
"130",710038073555
"131",723802566783
"132",734534103261
"133",736956528407
"134",736325170941
"135",741094705256
"136",749628138994
"137",760645307489
"138",768259045978
"139",774309853247
"140",783264991520
"141",789942642129
"142",798406970012
"143",810571919976
"144",812222217167
"145",811829765337
"146",816261293975
"147",822975706323
"148",821238982786
"149",828590084145
"150",845209153563
"151",853061129439
"152",860523389556
"153",869542670210
"154",884497059861
"155",899289099202
"156",907613283372
"157",909476232109
"158",911655816504
"159",914073224857
"160",930560260839
"161",947525100638
"162",967091108600
"163",952406997127
"164",953202087716
"165",962271517468
"166",967415385515
"167",975717091621
"168",985047586650
"169",982317730028
"170",992490065581
"171",1011360291207
"172",1016377909357
"173",1025473311860
"174",1049660084570
"175",1044209879526
"176",1045738392094
"177",1056069474194
"178",1066647281998
"179",1082432744381
"180",1089161914311
"181",1105118292440
"182",1120577072299
"183",1138360197052
"184",1147282436117
"185",1162428566622
"186",1183975523099
"187",1188787634455
"188",1195189296307
"189",1208211015047
"190",1217192814944
"191",1229796618069
"192",1233449681805
"193",1239751758197
"194",1257135761036
"195",1276393167834
"196",1286997777940
