"","TUR_MENSUAL"
"1",25951
"2",25876
"3",26864
"4",20698
"5",13796
"6",17601
"7",25874
"8",18913
"9",17387
"10",18059
"11",18665
"12",27423
"13",27681
"14",26139
"15",25881
"16",26577
"17",22737
"18",24857
"19",36033
"20",24906
"21",12638
"22",15338
"23",17957
"24",25829
"25",25437
"26",26932
"27",25492
"28",20392
"29",20005
"30",24344
"31",36246
"32",26145
"33",18624
"34",20472
"35",23182
"36",33799
"37",32866
"38",29819
"39",25978
"40",25480
"41",26356
"42",29988
"43",37781
"44",27965
"45",21827
"46",23955
"47",22935
"48",34986
"49",32269
"50",28368
"51",22752
"52",25481
"53",20967
"54",26656
"55",39095
"56",35436
"57",22600
"58",26441
"59",24178
"60",37070
"61",33925
"62",28618
"63",26837
"64",24496
"65",25611
"66",32330
"67",45525
"68",32265
"69",25788
"70",25441
"71",28514
"72",41559
"73",36722
"74",36290
"75",37601
"76",31864
"77",22923
"78",31532
"79",47060
"80",37278
"81",24806
"82",25186
"83",32622
"84",49401
"85",44697
"86",42221
"87",46072
"88",35251
"89",31763
"90",40115
"91",56675
"92",47518
"93",28426
"94",27303
"95",38177
"96",59062
"97",49564
"98",47660
"99",52440
"100",38073
"101",30639
"102",46197
"103",60063
"104",53265
"105",30091
"106",34235
"107",43181
"108",69941
"109",59027
"110",56760
"111",62452
"112",45342
"113",36489
"114",55017
"115",71531
"116",63435
"117",35836
"118",40771
"119",51425
"120",83295
"121",74586
"122",71721
"123",78914
"124",57294
"125",46107
"126",69519
"127",90385
"128",80156
"129",45282
"130",51518
"131",64981
"132",105250
"133",85508
"134",80908
"135",80565
"136",61226
"137",50966
"138",69297
"139",98476
"140",83113
"141",54830
"142",64599
"143",78515
"144",96619
"145",89149
"146",85390
"147",82337
"148",84254
"149",65098
"150",73875
"151",101439
"152",85633
"153",61471
"154",66017
"155",69254
"156",93947
"157",73110
"158",62297
"159",75036
"160",62424
"161",62108
"162",71013
"163",92521
"164",86627
"165",59991
"166",60214
"167",61374
"168",98529
"169",83520
"170",84966
"171",85996
"172",82333
"173",70784
"174",79794
"175",105253
"176",102648
"177",78853
"178",81733
"179",92747
"180",121018
"181",112081
"182",104509
"183",103688
"184",93651
"185",93705
"186",93722
"187",130192
"188",114140
"189",91747
"190",90444
"191",91660
"192",131456
"193",122869
"194",109349
"195",115705
"196",96095
"197",91760
"198",101188
"199",142640
"200",118741
"201",96664
"202",95422
"203",100652
"204",146441
"205",137049
"206",124715
"207",114420
"208",113857
"209",104229
"210",112154
"211",155255
"212",129619
"213",101957
"214",113433
"215",113153
"216",151498
"217",160064
"218",147130
"219",140370
"220",122079
"221",104800
"222",118876
"223",156478
"224",132120
"225",107901
"226",111496
"227",130815
"228",153894
"229",160873
"230",152456
"231",163295
"232",135939
"233",123057
"234",143695
"235",178010
"236",161935
"237",134754
"238",130549
"239",145374
"240",182338
"241",190127
"242",181935
"243",184583
"244",166921
"245",139398
"246",150953
"247",183589
"248",168750
"249",115825
"250",107091
"251",138319
"252",162967
"253",200864
"254",191419
"255",206385
"256",174923
"257",155099
"258",167812
"259",211754
"260",190064
"261",143075
"262",152052
"263",175733
"264",183521
"265",237882
"266",250722
"267",236644
"268",230988
"269",165482
"270",186895
"271",235717
"272",202493
"273",152565
"274",161566
"275",188966
"276",213577
"277",248069
"278",258349
"279",270500
"280",226286
"281",165133
"282",183475
"283",247308
"284",206971
"285",133276
"286",132785
"287",143296
"288",179375
"289",188932
"290",214076
"291",246593
"292",184873
"293",149726
"294",183230
"295",231219
"296",201592
"297",138902
"298",140730
"299",189574
"300",239422
"301",256738
"302",260975
"303",268451
"304",231451
"305",173914
"306",213197
"307",288760
"308",263176
"309",159788
"310",168604
"311",211663
"312",261833
"313",276251
"314",293129
"315",281957
"316",253302
"317",184031
"318",224149
"319",306784
"320",259993
"321",147269
"322",160253
"323",216805
"324",268968
"325",296832
"326",289293
"327",321558
"328",258372
"329",205288
"330",251358
"331",337692
"332",263176
"333",158983
"334",181318
"335",228525
"336",295852
"337",316652
"338",324683
"339",346264
"340",322452
"341",234333
"342",281741
"343",345913
"344",276731
"345",171641
"346",183859
"347",236640
"348",301197
"349",334544
"350",329979
"351",367399
"352",307914
"353",225320
"354",273120
"355",334473
"356",283183
"357",178446
"358",196283
"359",245013
"360",322700
"361",353236
"362",372002
"363",389075
"364",315721
"365",247357
"366",281338
"367",327227
"368",281094
"369",162946
"370",177072
"371",233185
"372",307477
"373",345995
"374",348746
"375",363410
"376",300107
"377",249895
"378",276493
"379",327967
"380",274939
"381",166518
"382",190127
"383",243657
"384",327762
"385",366256
"386",354036
"387",371244
"388",289223
"389",246811
"390",290764
"391",346671
"392",280382
"393",180385
"394",207332
"395",256202
"396",331804
"397",367565
"398",365668
"399",394821
"400",330697
"401",251650
"402",290554
"403",363045
"404",277386
"405",200043
"406",225595
"407",273970
"408",362003
"409",390768
"410",400493
"411",424613
"412",350527
"413",267043
"414",321731
"415",379908
"416",298579
"417",213795
"418",229032
"419",285901
"420",361303
"421",383364
"422",381170
"423",444068
"424",345752
"425",283727
"426",337445
"427",396938
"428",320506
"429",211405
"430",243368
"431",315168
"432",401843
"433",410475
"434",404555
"435",452283
"436",394150
"437",335960
"438",379987
"439",433977
"440",363646
"441",239518
"442",276427
"443",344171
"444",429494
"445",435851
"446",430819
"447",476520
"448",410933
"449",357965
"450",408433
"451",477596
"452",396091
"453",280545
"454",317480
"455",370582
"456",470141
"457",465229
"458",463124
"459",498735
"460",423875
"461",374737
"462",440229
"463",524862
"464",428356
"465",307270
"466",339140
"467",380484
"468",488069
"469",485738
"470",485462
"471",524049
"472",495195
"473",411190
"474",468677
"475",546019
"476",445444
"477",258588
"478",337466
"479",392966
"480",503223
"481",501365
"482",501107
"483",589243
"484",489489
"485",436057
"486",497997
"487",561135
"488",451227
"489",300916
"490",350821
"491",416954
"492",522250
"493",522632
"494",535321
"495",595600
"496",504323
"497",446343
"498",485431
"499",470562
"500",396254
"501",250854
"502",294326
"503",382798
"504",473175
"505",474152
"506",488228
"507",226565
"508",102
"509",73
"510",357
"511",54105
"512",50068
"513",46877
"514",70901
"515",101834
"516",185932
"517",130093
"518",126689
"519",208629
"520",225815
"521",273370
"522",333048
"523",412190
"524",358062
"525",277502
"526",349381
"527",424441
"528",536001
"529",436680
"530",474413
"531",519204
"532",513197
"533",453369
"534",514210
"535",591077
"536",502278
"537",341719
"538",400374
"539",476710
"540",582132
"541",568542
"542",567954
"543",640602
